Gene	aos_HRFR_1.5h_nw	aos_HRFR_1.5h_w	aos_LRFR_1.5h_nw	aos_LRFR_1.5h_w	aos_HRFR_4h_nw	aos_HRFR_4h_w	aos_LRFR_4h_nw	aos_LRFR_4h_w	Col-0_HRFR_1.5h_nw	Col-0_HRFR_1.5h_w	Col-0_LRFR_1.5h_nw	Col-0_LRFR_1.5h_w	Col-0_HRFR_4h_nw	Col-0_HRFR_4h_w	Col-0_LRFR_4h_nw	Col-0_LRFR_4h_w
AT3G61670	5.296536799	5.312161246	5.213203423	5.143294922	5.017617797	5.04665142	4.767276231	4.697784424	5.321775096	4.965631707	5.286158395	5.049632305	5.202242914	4.932848623	4.820016023	4.585884479
AT3G61680	-0.338378814	-0.423629172	0.729997803	0.761589331	-0.466098347	-0.128585747	2.893353957	2.879296243	0.06015386	-0.833823474	0.831826442	0.269328126	0.231766339	-0.453654606	2.960766474	2.164982175
AT3G61690	5.976131275	5.975325703	5.712900714	5.929947432	5.993131302	6.081812483	6.097232354	6.127033622	5.948307037	6.240581188	5.992806802	6.088278626	6.142377327	6.270704054	6.084018404	6.102718418
AT3G61700	5.15018884	5.087312115	5.212070057	5.266599965	4.964938664	4.888263648	4.699786544	4.750514946	5.102351253	4.97987862	5.223911683	5.20741926	5.026449579	4.903161454	4.751027309	4.820825162
AT3G61710	4.649823015	4.734279399	4.479437977	4.592640612	4.715264732	4.767782833	4.499474531	4.639817987	4.604712856	4.832629245	4.423775698	4.526318464	4.562346332	4.911186764	4.503913892	4.667263936
AT3G61740	3.644846971	3.922347252	3.391920225	3.655316398	3.792336497	3.798573574	3.726527781	3.573786457	3.756633959	4.112726645	3.68143332	3.890345864	3.795208905	3.847311146	3.679060871	3.597574975
AT3G61750	4.338538802	4.466765455	3.774517592	4.056152784	4.122812275	4.286486168	3.412168313	3.557101796	4.672928978	4.608400713	4.135682246	4.171561311	4.398244225	4.522296019	3.657921806	3.786378485
AT3G61760	1.187203137	0.721340883	1.193479887	0.742318544	0.833432989	0.705184287	1.224378083	1.144070698	0.615146001	0.254983267	0.703449066	0.498398979	0.43203572	0.28076123	1.003484999	0.606368324
AT3G61770	5.441748113	5.199655321	5.391073811	5.297422788	5.125671994	4.887567441	5.0813857	5.019280891	5.471733723	5.207074691	5.442318548	5.334460226	5.114028011	4.67552583	5.232954172	4.832451705
AT3G61780	5.004160696	4.832183351	4.920970495	4.995784986	5.076138295	5.046246514	4.948905177	4.833214051	5.169437659	4.755631305	5.132139749	4.929115932	5.366405183	5.067743753	5.00380553	4.955986055
AT3G61790	4.392803964	4.584320092	4.351363068	4.361716775	4.376595657	4.457432108	4.501692012	4.539944537	4.307096638	4.440065557	4.204105812	4.32442048	4.375623827	4.435278256	4.325239053	4.428365059
AT3G61800	3.386458435	3.489843744	3.275018418	3.32547813	3.540320609	3.557219772	3.577120759	3.606451272	3.45760012	3.267880052	3.369461994	3.287794472	3.425763056	3.483103202	3.431879587	3.44364148
AT3G61810	0.574662703	0.962083542	0.401401321	0.517967893	1.724671493	1.819507924	1.35189946	1.467090645	0.445560014	-0.367387611	0.222043522	-0.810023568	1.529769728	0.750501768	1.221383157	0.7024063
AT3G61820	7.253753447	7.772409256	7.089528624	7.230083219	7.538366459	7.861633128	7.344957179	7.495892673	7.17066469	7.255708594	6.942829848	7.077578064	7.537228288	7.882711794	7.349742045	7.477479801
AT3G61830	3.116631979	3.08226901	4.094846524	4.005086925	3.468660765	3.52373405	3.700445229	3.500397807	3.238919079	2.676111461	4.183525934	3.814559	3.568541675	3.161268541	3.479423514	3.491343487
AT3G61850	3.973827201	4.08388224	3.960637558	4.077054324	4.208602018	4.299143965	4.623477624	4.517407053	3.997895067	3.750599517	4.059320751	3.881140798	4.273714562	4.142047217	4.479709227	4.265942536
AT3G61860	5.085496202	5.165839161	5.111169272	5.040617949	5.087008727	5.068432601	5.003825779	5.001653007	5.025559463	5.204923198	5.04106676	5.101111059	4.934614632	5.227236317	5.000616554	5.096355677
AT3G61870	7.985910769	7.722237676	7.944148342	7.828801982	7.752109813	7.669936917	7.462342879	7.210624848	7.900287243	7.635858291	7.741725055	7.579785499	7.733786634	7.836566039	7.390548514	7.3720469
AT3G61880	1.708670587	1.841021746	2.242678106	2.398305401	0.176271666	0.357275318	2.105998169	1.97041547	0.615117815	0.301144893	1.453795896	0.71320728	-0.38500501	-0.519797836	1.330478245	0.831865189
AT3G61890	3.261365504	3.235164126	2.400214774	2.293161532	2.995637116	3.192851544	2.349334916	2.421672245	3.398106363	4.510829672	2.535786075	2.945272423	3.131234717	4.008280707	2.284216199	3.133281583
AT3G61898	0.143816976	0.172675954	0.447742304	0.319714484	0.698909989	0.713516109	1.619928974	1.475326423	-0.042350275	0.494924186	-0.071850957	0.742430338	-0.349160824	-0.206766334	0.969937031	0.446339973
AT3G61940	-0.501739311	-0.201377599	-0.052971834	-0.042757254	0.031788715	-0.274514293	-1.173584475	-1.390341205	-0.359507632	-1.069470448	0.722411843	-0.217625918	-0.00344305	-0.123760502	-0.698240269	-1.554239399
AT3G61950	4.092424023	4.25094637	4.435321299	4.690417434	4.181023688	4.361474075	3.00067948	3.243556263	4.436267144	3.625640455	4.921687849	4.569288838	4.470292185	4.184819236	3.131730872	2.934349198
AT3G61960	4.761831275	4.814174919	4.693131392	4.702560064	4.937942785	5.018416535	4.622383027	4.601755324	4.63895848	5.029587403	4.5285229	4.708630036	4.917652639	5.305850263	4.623321268	4.736794321
AT3G61980	2.162015208	2.257868482	2.291728901	2.459289025	2.126993655	2.06481051	1.867495045	2.142340754	2.103262723	2.450667767	2.256566696	2.416953237	2.186430157	2.155127107	1.967988474	2.263980795
AT3G61990	2.323911828	2.411577823	2.208987237	2.386642769	2.251905724	2.112979931	1.72150199	1.806187714	2.524867453	3.900254882	2.439389947	3.182255213	2.479261349	3.559192649	1.821428366	2.770313559
AT3G62000	3.072524529	2.972037713	2.951838326	2.900377964	3.198540094	3.104299809	2.835582725	2.700512724	3.163297175	4.078453189	3.20551492	3.610324094	3.141810953	3.93178273	2.866017958	3.40111158
AT3G62010	6.500726777	6.420880713	6.028646169	6.362764173	6.498813733	6.769597599	5.867452423	5.873349307	6.545160077	8.789879818	6.265030566	7.660232682	6.646779628	8.526035376	5.922146892	7.132908176
AT3G62020	4.72363797	4.725456661	4.690334136	4.598943608	4.36053729	4.803437418	4.700756743	4.505810138	4.509487794	4.660469637	4.351903329	4.753449115	4.526764128	4.595305096	4.567642427	4.279057368
AT3G62030	9.737710352	9.260629991	9.827937077	9.444742317	9.728350376	9.32054424	9.636057932	9.269248761	9.682089073	9.261576145	9.650595995	9.27515646	9.656969248	9.262525999	9.613355705	9.143873365
AT3G62050	0.857805539	0.829669408	1.116758539	0.940269242	0.598752218	0.417727519	1.017435126	0.971696159	1.027703856	0.220670723	1.284025709	0.905334497	0.573790877	-0.131668897	1.240055066	0.917876337
AT3G62060	2.488727497	2.436231365	2.690598134	2.433183826	2.983511668	2.922282377	3.726557426	3.619108985	2.608324017	2.038450264	2.938843468	2.389686098	2.991239925	2.312163801	3.860283655	3.194729962
AT3G62070	-0.188625543	-0.413271685	2.384075891	2.425965571	0.237609428	0.246513718	0.311204746	0.331209803	0.231000496	-0.831584419	2.748012387	2.660000571	0.491460669	-0.11508675	0.242314012	-0.101845546
AT3G62080	3.907474958	3.719204188	3.988615417	4.044485919	3.74884681	3.676057579	3.580882622	3.627875194	3.692604857	3.876730021	4.080856229	4.024249114	3.759412256	3.886542175	3.567420204	3.668580379
